,core_attributes,spurious_attributes,spurious_correlation_type,question,choices,answer,image,answer_type,qid
364,"['gripping tips', 'handle', 'metal structure']","['held in hand', 'patterned background', 'shadow']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is held in hand with a patterned background?,"['A. The background pattern', 'B. The hand holding it', 'C. The shadow', 'D. The gripping tips']",D,001612.png,choice,s1612
365,"['flat', 'soft', 'thin paper', 'rectangular', 'patterned']","['near soap dispenser', 'bathroom sink', 'near hand towel', 'bathroom mirror']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object near the soap dispenser on the sink?,"['A. The soap dispenser', ""B. The object's thin paper structure"", 'C. The bathroom mirror', 'D. The bathroom sink']",B,001436.png,choice,s1436
366,"['long fur', 'small size', 'facial features', 'bow on head']","['black-and-white style', 'simplistic drawing', 'shape of bow', 'large ears']","['Texture and Noise', 'Co-occurring Objects']",Which feature best indicates the identity of the object with a bow on its head?,"['A. The recognizable facial features', 'B. The large ears', 'C. The shape of the bow', 'D. The black-and-white style']",A,002194.png,choice,s2194
367,"['fabric texture', 'hanging position', 'cleaning use']","['glasses', 'cleaning supplies', 'lighting', 'kitchen sink', 'countertop']","['Background', 'Lighting and Shadows']",Which feature best indicates the identity of the object hanging near the kitchen sink?,"['A. The fabric texture', 'B. The countertop', 'C. The lighting', 'D. The glasses']",A,000783.png,choice,s783
368,"['multiple sockets', 'power switch', 'rectangular shape']","['coiled cable', 'other electronics', 'wooden surface', 'black and red objects']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object with a coiled cable on the wooden surface?,"['A. Other electronics', 'B. Black and red objects', 'C. Wooden surface', 'D. Multiple sockets']",D,001786.png,choice,s1786
369,"['large size', 'distinct shape', 'thick fur']","['black color', 'grass', 'lighting']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object lying on the grass?,"['A. The black color', 'B. The grass', 'C. The lighting', 'D. The large size']",D,002256.png,choice,s2256
370,"['nozzle', 'flexible body', 'small size', 'lightweight', 'plastic material']","['cylindrical shape', 'colorful background', 'lying flat', 'patterned cloth', 'small object']","['Background', 'Shape']",Which feature best indicates the identity of the small object lying flat on the patterned cloth?,"['A. The colorful background', 'B. The patterned cloth', ""C. The object's cylindrical shape"", ""D. The object's nozzle""]",D,001758.png,choice,s1758
371,"['near water', 'boat storage', 'wooden structure', 'roof', 'support beams']","['wooden planks', 'bridge-like structure', 'hazy atmosphere', 'posts', 'water']","['Background', 'Perspective and Angle']",Which feature best indicates the identity of the structure near the water?,"['A. Wooden planks', 'B. Boat storage', 'C. Hazy atmosphere', 'D. Bridge-like structure']",B,002137.png,choice,s2137
372,"['door', 'control panel', 'handle', 'window']","['tilted orientation', 'nearby food packages', 'power outlet', 'orange wall']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is tilted and near food packages?,"['A. Nearby food packages', 'B. The orange wall', ""C. The object's control panel"", 'D. Power outlet']",C,000455.png,choice,s455
373,"['open top', 'handle', 'cylindrical shape']","['blue color', 'plain floor', 'hand holding']","['Background', 'Colorization']",What feature helps identify the object held in the hand?,"['A. The plain floor', ""B. The object's handle"", 'C. The hand holding', 'D. The blue color']",B,000408.png,choice,s408
374,"['seating surface', 'metal legs', 'crossbar support', 'small size']","['bedroom setting', 'patterned rug', 'position near bed', 'small size', 'metal legs']","['Background', 'Orientation']",Which feature best indicates the identity of the object near the bed with metal legs?,"['A. The patterned rug', 'B. The bedroom setting', 'C. The bed', ""D. The object's seating surface""]",D,001672.png,choice,s1672
375,"['circular shape', 'flat surface', 'raised edge']","['bed covers', 'hand holding', 'pillow', 'checkered pattern']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held over the bed covers?,"['A. The pillow', 'B. The bed covers', 'C. The checkered pattern', ""D. The object's circular shape""]",D,001880.png,choice,s1880
376,"['curved beak', 'long beak', 'beak ridges', 'avian feature']","['elongated shape', 'linear texture', 'detailed lines']","['Texture and Noise', 'Orientation']",Which feature best indicates the identity of the object with an elongated structure?,"['A. The elongated shape', ""B. The object's beak ridges"", 'C. The detailed lines', 'D. The linear texture']",B,002222.png,choice,s2222
377,"['adhesive material', 'flatness', 'circular shape']","['circular shape', 'plain background', 'shadow']","['Background', 'Shape']",Which feature best indicates the identity of the circular object on the plain background?,"[""A. The object's adhesive material"", 'B. The circular shape', 'C. The plain background', 'D. The shadow']",A,000716.png,choice,s716
378,"['shredded', 'mozzarella', 'provolone', 'nutritional facts']","['plastic bag', 'black countertop', 'kitchen setting', 'label']","['Background', 'Packaging']",Which feature best indicates the identity of the object on the black countertop?,"['A. The black countertop', ""B. The object's nutritional facts"", 'C. The plastic bag', 'D. The kitchen setting']",B,000625.png,choice,s625
379,"['L-shaped design', 'sturdy base', 'decorative element']","['handle-like structure', 'decorative elephant', 'table surface', 'cat tree', 'fireplace']","['Shape', 'Co-occurring Objects']",Which feature best indicates the identity of the object with a decorative elephant?,"['A. The table surface', 'B. The handle-like structure', 'C. The cat tree', 'D. The L-shaped design']",D,001680.png,choice,s1680
380,"['soft material', 'typical shape', 'belt loops']","['folded state', 'patterned blanket', 'horizontal orientation', 'nearby cables']","['Background', 'Orientation']",Which feature best indicates the identity of the folded object on the blanket?,"['A. The horizontal orientation', 'B. The patterned blanket', 'C. The nearby cables', ""D. The object's soft material""]",D,001628.png,choice,s1628
381,"['cushion-like structure', 'softness', 'rectangular shape']","['floor tiles', 'holding by hand', 'near table leg']","['Background', 'Shape']",Which feature best indicates the identity of the object being held near the table leg?,"['A. Its cushion-like structure', 'B. Holding by hand', 'C. The floor tiles', 'D. The table leg']",A,001784.png,choice,s1784
382,"['buttons', 'rectangular shape', 'handheld', 'black color']","['blur', 'carpet', 'hand-held']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the handheld object on the carpet?,"['A. The hand holding it', ""B. The object's buttons"", 'C. The carpet', 'D. The blur']",B,000466.png,choice,s466
383,"['green spiky skin', 'white interior', 'seeds']","['blurring effect', 'spoon', 'plate design', 'yellow background']","['Background', 'Texture and Noise']",Which feature best indicates the identity of the object on the plate despite the blurring effect?,"['A. The spoon', 'B. The plate design', ""C. The object's green spiky skin"", 'D. The yellow background']",C,002278.png,choice,s2278
384,"['clasp', 'needle', 'metal loop']","['long shape', 'metallic', 'thin structure']","['Shape', 'Colorization']",Which feature best indicates the identity of the metallic object held between fingers?,"['A. The thin structure', 'B. The metallic material', 'C. The long shape', 'D. The clasp and needle']",D,000048.png,choice,s48
385,"['adjustable head', 'metallic body', 'handle', 'grip']","['hand', 'couch', 'positioned vertically', 'soft background']","['Background', 'Orientation']",Which feature best indicates the identity of the object being held by a hand on a couch?,"['A. The hand', ""B. The object's adjustable head"", 'C. The couch', 'D. The soft background']",B,001351.png,choice,s1351
386,"['hollow core', 'paper remnants', 'cylindrical shape']","['nearby sink', 'granite countertop', 'cylindrical shape', 'water droplets']","['Co-occurring Objects', 'Shape']",Which feature best indicates the identity of the cylindrical object near the sink?,"['A. The hollow core', 'B. The granite countertop', 'C. The nearby sink', 'D. Water droplets']",A,000395.png,choice,s395
387,"['fabric', 'covers bed', 'soft texture']","['folded', 'nearby container', 'colorful patterns', 'bed setting']","['Co-occurring Objects', 'Colorization']",Which feature best indicates the identity of the object with colorful patterns on the bed?,"['A. The bed setting', 'B. The container', 'C. The fabric', 'D. The pillows']",C,000816.png,choice,s816
388,"['flat surface', 'slots', 'handle']","['reflective surface', 'rounded shape', 'metallic appearance', 'background papers']","['Shape', 'Background']",Which feature best indicates the identity of the object with a reflective surface?,"['A. Its handle and slots', 'B. Its rounded shape', 'C. Its reflective surface', 'D. The background papers']",A,000672.png,choice,s672
389,"['small size', 'decorative design', 'metallic']","['blue surface', 'textured background', 'circular patterns']","['Background', 'Relative Size']",Which feature best indicates the identity of the small decorative object on the blue surface?,"[""A. The object's metallic material"", 'B. The blue surface', 'C. The circular patterns', 'D. The textured background']",A,000570.png,choice,s570
390,"['small size', 'attachment mechanism', 'delicate design']","['fabric surface', 'intricate design', 'flat position', 'near edge', 'background']","['Background', 'Shape']",Which feature best indicates the identity of the object on the fabric surface?,"['A. The small size', 'B. The flat position', 'C. The background', 'D. The intricate design']",A,001770.png,choice,s1770
391,"['multiple tools', 'compact', 'foldable', 'metal parts', 'wooden handle']","['countertop', 'metallic parts', 'lighting', 'hand holding']","['Background', 'Shape']",Which feature best indicates the identity of the object held in hand on the countertop?,"['A. The countertop', 'B. The lighting', 'C. The metallic parts', 'D. The multiple tools']",D,000142.png,choice,s142
392,"['sleeves', 'buttons', 'collar', 'fabric', 'white color']","['draped over sink', 'toothbrushes', 'soap dispensers', 'bathroom', 'mirror']","['Background', 'Orientation']",Which feature best indicates the identity of the object that is draped over the sink?,"['A. The bathroom mirror', ""B. The object's sleeves"", 'C. The toothbrushes', 'D. The soap dispensers']",B,001980.png,choice,s1980
393,"['transparent body', 'lid', 'cylindrical shape']","['bathroom sink', 'water faucet', 'nearby soap', 'white tiles', 'drain']","['Background', 'Co-occurring Objects']",Which feature best indicates the identity of the object placed next to the water faucet?,"['A. The bathroom sink', ""B. The object's transparent body"", 'C. The water faucet', 'D. White tiles']",B,001583.png,choice,s1583
394,"['fur', 'ears', 'tail', 'nose', 'paws']","['monochrome coloring', 'posture', 'outline', 'shading']","['Colorization', 'Orientation']",Which feature best indicates the identity of the object with monochrome coloring and a distinct posture?,"['A. Book-shaped outline', 'B. Monochrome shading', 'C. Distinct fur pattern', 'D. Bow tie shape']",C,002308.png,choice,s2308
395,"['cushioning', 'shape', 'size', 'material']","['folded state', 'printed design', 'fabric texture', 'background']","['Texture and Noise', 'Background']",Which feature best indicates the identity of the object that is folded with a printed design?,"['A. Printed design', 'B. Folded state', 'C. Cushioning', 'D. Fabric texture']",C,000719.png,choice,s719
396,"['serrated blade', 'long handle', 'metal blade']","['toothbrush', 'hair product', 'bathroom counter', 'electrical outlet']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object placed next to the toothbrush on the counter?,"['A. The hair product', ""B. The object's serrated blade"", 'C. The toothbrush', 'D. The electrical outlet']",B,001313.png,choice,s1313
397,"['stapler mechanism', 'pressing handle', 'staple slot']","['small size', 'blue color', 'metallic parts']","['Colorization', 'Relative Size']",Which feature best indicates the identity of the small blue object with metallic parts?,"['A. The blue color', 'B. The metallic parts', 'C. The small size', 'D. The staple slot']",D,001043.png,choice,s1043
398,"['flat surface', 'raised edges', 'rectangular shape']","['bathroom setting', 'plumbing pipes', 'mat', 'orientation']","['Background', 'Orientation']",Which feature best indicates the identity of the object placed on the mat?,"['A. The mat', 'B. The plumbing pipes', 'C. The bathroom setting', ""D. The object's raised edges""]",D,000818.png,choice,s818
399,"['screen', 'display content', 'flat surface']","['keyboard', 'laptop body', 'bed', 'blanket', 'background objects']","['Co-occurring Objects', 'Background']",Which feature best indicates the identity of the object displaying a website?,"['A. The laptop body', ""B. The object's flat surface"", 'C. The bed', 'D. The keyboard']",B,001391.png,choice,s1391
